folioviv,foliohog,ubica_geo,factor,ing_cor,gasto_mon,alimentos,educa_espa,transporte,salud,entidad
100039705,1,1001,208,109421.26,35806.81,13782.69,6283.69,4019.94,2641.3,1
100039706,1,1001,208,63221.95,59528.28,40178.3,0.0,8369.98,0.0,1
100040901,1,1001,195,30050.26,29426.47,18488.31,0.0,5615.99,0.0,1
100040902,1,1001,195,53852.1,28588.31,12959.87,580.64,3366.34,58.69,1
100040903,1,1001,195,54637.46,26513.21,9707.03,0.0,6915.47,0.0,1
100040904,1,1001,195,46840.23,49194.13,28233.99,0.0,16395.01,0.0,1
100040905,1,1001,195,49854.22,42908.56,22114.02,244.56,6145.16,3110.86,1
100040906,1,1001,195,45489.12,34582.18,12599.88,0.0,6454.82,0.0,1
100041202,1,1001,194,64780.09,28026.83,10131.32,4080.45,6046.3,2054.34,1
100041203,1,1001,194,41488.92,26702.38,10150.57,3629.02,1630.64,1036.95,1
100041204,1,1001,194,33327.51,30257.62,8112.73,3637.44,2903.22,391.3,1
100041205,1,1001,194,41286.23,40625.44,9488.47,7335.86,8633.44,48.91,1
100041206,1,1001,194,98610.7,66955.91,32065.58,13428.99,11551.9,0.0,1
100042401,1,1001,200,35393.95,19297.03,10947.72,3803.7,1726.99,381.51,1
100042402,1,1001,200,125824.82,61542.19,24587.79,14703.85,10136.88,489.12,1
100042403,1,1001,200,95120.08,75035.64,11833.6,4132.25,20574.18,445.09,1
100042404,1,1001,200,61483.67,72257.43,29468.39,8268.36,24299.74,693.57,1
100042405,1,1001,200,95438.77,52986.58,33164.78,2906.36,12739.73,53.8,1
100042406,1,1001,200,78296.88,40866.57,15383.41,4407.09,13928.42,0.0,1
100043601,1,1001,191,58570.19,34010.65,13834.13,978.26,9181.96,0.0,1
100043602,1,1001,191,18162.28,21636.18,11404.07,0.0,5082.82,841.29,1
100043603,1,1001,191,26449.22,20632.81,5374.19,0.0,10157.12,0.0,1
100043604,1,1001,191,49378.42,34655.84,16032.72,390.0,5344.25,1076.06,1
100043605,1,1001,191,63324.97,42716.29,13165.54,7173.91,7611.32,0.0,1
100043606,1,1001,191,39865.63,38646.6,20487.55,2875.43,4375.66,1663.02,1
100044801,1,1001,180,27147.54,22221.52,11687.01,237.54,2614.25,1917.37,1
100044802,1,1001,180,457817.36,230734.68,44022.64,25178.41,27661.47,15260.82,1
100044803,1,1001,180,47884.06,25959.75,11738.49,489.13,3150.0,684.76,1
100044804,1,1001,180,142942.93,59645.77,35935.64,0.0,5070.0,0.0,1
100044805,1,1001,180,75948.48,38376.12,12998.4,831.52,4097.1,185.85,1
100044806,1,1001,180,96567.9,54414.5,35819.64,1140.0,5523.07,273.91,1
100045001,1,1001,195,36721.21,29356.06,17119.07,0.0,8283.65,0.0,1
100045002,1,1001,195,58097.01,30558.06,14425.5,0.0,8167.74,0.0,1
100045003,1,1001,195,30096.82,6235.6,6235.6,0.0,0.0,0.0,1
100045004,1,1001,195,112859.5,45606.28,13936.99,2032.25,15774.19,0.0,1
100045005,1,1001,195,68547.0,34042.0,18874.02,2628.67,5912.96,0.0,1
100045006,1,1001,195,72548.17,43111.12,16495.59,725.8,14392.42,342.38,1
100046301,1,1001,202,83654.07,51300.49,17974.15,15776.07,10757.35,35.21,1
100046302,1,1001,202,45978.25,35688.73,13139.81,751.92,9769.34,0.0,1
100046303,1,1001,202,332684.4,128679.78,36938.42,11176.14,44089.89,0.0,1
100046304,1,1001,202,70986.35,14691.74,5592.79,1344.15,3443.75,342.38,1
100046305,1,1001,202,54701.32,35185.92,16804.12,2258.67,9772.89,207.37,1
100046306,1,1001,202,55715.09,35528.42,14695.56,0.0,9218.7,0.0,1
100047501,1,1001,191,228346.53,66823.79,9321.36,13701.93,9719.03,1467.39,1
100047502,1,1001,191,53992.76,22513.32,9212.05,0.0,5991.41,391.3,1
100047503,1,1001,191,117285.31,35933.74,4371.41,3568.43,6986.12,0.0,1
100047504,1,1001,191,86369.59,19484.43,3407.08,2517.39,3148.73,0.0,1
100047505,1,1001,191,88340.08,21238.3,3201.37,0.0,11536.16,0.0,1
100047506,1,1001,191,55306.65,62585.6,25009.37,725.8,3944.71,929.34,1
100048701,1,1001,244,111934.39,118677.4,32129.65,2250.0,8667.0,62755.42,1
100048702,1,1001,244,283662.28,309681.69,20635.66,39492.54,222735.71,6586.41,1
100048703,1,1001,244,282639.34,168878.35,69531.08,27560.11,24700.8,3864.12,1
100048704,1,1001,244,94327.82,34094.79,10889.89,4950.0,8040.98,1467.39,1
100048705,1,1001,244,106622.94,180546.21,76486.86,3825.65,30777.02,978.26,1
100048706,1,1001,244,140508.18,116820.59,29159.68,20113.39,41323.26,4793.45,1
100049901,1,1001,162,173379.04,231618.72,72166.98,37632.07,25249.37,62119.52,1
100049902,1,1001,162,196346.41,244011.46,47172.02,18830.43,48672.65,14120.17,1
100049903,1,1001,162,90261.1,49491.37,17177.02,15093.86,8596.94,1359.77,1
100049904,1,1001,162,58080.28,59786.76,23695.63,1445.79,16157.32,1208.14,1
100049905,1,1001,162,131816.35,168212.36,26138.35,13993.53,92642.33,0.0,1
100049906,1,1001,162,107475.88,101005.77,21149.91,31330.37,11243.21,1418.47,1
100050202,1,1001,203,48148.68,34721.73,1298.54,0.0,8825.79,0.0,1
100050203,1,1001,203,85788.71,36743.92,14824.17,2967.03,6859.2,3729.11,1
100050204,1,1001,203,77998.64,41408.02,24364.08,725.8,12383.73,0.0,1
